[INFO] [1775717388.869098458] [fleet_scheduler]: Fleet scheduler initialized with enhanced AI and periodic scheduling
[INFO] [1775717388.870748950] [fleet_scheduler]: Fleet scheduler node started
[INFO] [1775717418.872015707] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775717448.954629031] [fleet_scheduler]: Cost for robot_5 -> support_mri_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.957011964] [fleet_scheduler]: Cost for robot_6 -> deliver_meds_1: distance=7.0, congestion=5.0, predicted=39.01
[INFO] [1775717448.959235427] [fleet_scheduler]: Cost for robot_6 -> pickup_samples_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717448.961651377] [fleet_scheduler]: Cost for robot_6 -> assist_patient_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.964145722] [fleet_scheduler]: Cost for robot_6 -> deliver_food_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.966251069] [fleet_scheduler]: Cost for robot_6 -> clean_room_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.968195729] [fleet_scheduler]: Cost for robot_6 -> transport_equipment_1: distance=3.0, congestion=1.0, predicted=15.02
[INFO] [1775717448.970293943] [fleet_scheduler]: Cost for robot_6 -> restock_supplies_1: distance=6.0, congestion=4.0, predicted=33.01
[INFO] [1775717448.972251171] [fleet_scheduler]: Cost for robot_6 -> move_patient_1: distance=5.0, congestion=3.0, predicted=27.01
[INFO] [1775717448.974075609] [fleet_scheduler]: Cost for robot_6 -> deliver_lab_results_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.975830328] [fleet_scheduler]: Cost for robot_6 -> support_mri_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717448.977694862] [fleet_scheduler]: Cost for robot_7 -> deliver_meds_1: distance=2.0, congestion=0.0, predicted=9.03
[INFO] [1775717448.979695424] [fleet_scheduler]: Cost for robot_7 -> pickup_samples_1: distance=7.0, congestion=5.0, predicted=39.01
[INFO] [1775717448.981548491] [fleet_scheduler]: Cost for robot_7 -> assist_patient_1: distance=4.0, congestion=2.0, predicted=21.02
[INFO] [1775717448.982895215] [fleet_scheduler]: Cost for robot_7 -> deliver_food_1: distance=3.0, congestion=1.0, predicted=15.02
