[INFO] [1775842277.341456223] [fleet_scheduler]: Fleet scheduler initialized with enhanced AI and periodic scheduling
[INFO] [1775842277.341944706] [fleet_scheduler]: Fleet scheduler node started
[INFO] [1775842307.342692411] [fleet_scheduler]: Starting scheduler cycle
[INFO] [1775842307.343543496] [fleet_scheduler]: Generated 1 new tasks
[INFO] [1775842307.482454538] [fleet_scheduler]: Cost for heavy_supply_1(type=heavy_supply) -> lab_samples_2(priority=critical): distance=8.0, time=45.00, spec_bonus=0.00, battery_penalty=0.00, total=22.50
[INFO] [1775842307.482869698] [fleet_scheduler]: Cost for heavy_supply_1(type=heavy_supply) -> supply_stock_1(priority=medium): distance=1.0, time=7.03, spec_bonus=-2.00, battery_penalty=0.00, total=4.33
[INFO] [1775842307.483280252] [fleet_scheduler]: Cost for heavy_supply_1(type=heavy_supply) -> supply_stock_2(priority=high): distance=2.0, time=9.03, spec_bonus=-2.00, battery_penalty=0.00, total=4.32
[INFO] [1775842307.483732158] [fleet_scheduler]: Cost for heavy_supply_1(type=heavy_supply) -> equip_move_1(priority=medium): distance=8.0, time=45.00, spec_bonus=-2.00, battery_penalty=0.00, total=38.50
[INFO] [1775842307.485079029] [fleet_scheduler]: Cost for heavy_supply_1(type=heavy_supply) -> food_delivery_1(priority=low): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=33.01
[INFO] [1775842307.487460605] [fleet_scheduler]: Cost for heavy_supply_1(type=heavy_supply) -> food_delivery_2(priority=medium): distance=7.0, time=39.01, spec_bonus=0.00, battery_penalty=0.00, total=35.10
[INFO] [1775842307.489838782] [fleet_scheduler]: Cost for heavy_supply_1(type=heavy_supply) -> document_delivery_1(priority=low): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=33.01
[INFO] [1775842307.491833262] [fleet_scheduler]: Cost for heavy_supply_1(type=heavy_supply) -> patient_mover_task_1(priority=critical): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=16.50
[INFO] [1775842307.492872986] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> med_delivery_1(priority=high): distance=7.0, time=39.01, spec_bonus=-2.00, battery_penalty=0.00, total=25.30
[INFO] [1775842307.494061313] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> med_delivery_2(priority=critical): distance=7.0, time=39.01, spec_bonus=-2.00, battery_penalty=0.00, total=17.50
[INFO] [1775842307.495061540] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> clean_ward_a(priority=medium): distance=5.0, time=27.01, spec_bonus=0.00, battery_penalty=0.00, total=24.31
[INFO] [1775842307.495892236] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> clean_er(priority=high): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=10.52
[INFO] [1775842307.496726482] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> patient_move_1(priority=critical): distance=5.0, time=27.01, spec_bonus=0.00, battery_penalty=0.00, total=13.51
[INFO] [1775842307.497854461] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> patient_move_2(priority=critical): distance=5.0, time=27.01, spec_bonus=0.00, battery_penalty=0.00, total=13.51
[INFO] [1775842307.498721740] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> lab_samples_1(priority=high): distance=1.0, time=7.03, spec_bonus=-2.00, battery_penalty=0.00, total=2.92
[INFO] [1775842307.499674372] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> lab_samples_2(priority=critical): distance=3.0, time=15.02, spec_bonus=-2.00, battery_penalty=0.00, total=5.51
[INFO] [1775842307.500426746] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> supply_stock_1(priority=medium): distance=6.0, time=33.01, spec_bonus=0.00, battery_penalty=0.00, total=29.71
[INFO] [1775842307.501153479] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> supply_stock_2(priority=high): distance=7.0, time=39.01, spec_bonus=0.00, battery_penalty=0.00, total=27.30
[INFO] [1775842307.501846795] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> equip_move_1(priority=medium): distance=3.0, time=15.02, spec_bonus=0.00, battery_penalty=0.00, total=13.52
[INFO] [1775842307.502574008] [fleet_scheduler]: Cost for lab_courier_1(type=lab_courier) -> food_delivery_1(priority=low): distance=11.0, time=62.99, spec_bonus=-2.00, battery_penalty=0.00, total=60.99
